ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
EFO:0001200	MCF 10A	cell_line	adult		chip_tf,dnase,procap,rna_seq,splice_junctions,splice_site_usage	DNase-seq|ENCSR860TYZ|TF ChIP-seq CTCF|total RNA-seq	9
EFO:0001203	MCF-7	cell_line	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|TF ChIP-seq ATF7|TF ChIP-seq BMI1|TF ChIP-seq CEBPB|TF ChIP-seq CEBPG stably expressing C-terminal eGFP-tagged CEBPG|TF ChIP-seq CHD1|TF ChIP-seq CLOCK|TF ChIP-seq CREB1|TF ChIP-seq CTBP1|TF ChIP-seq CTCF|TF ChIP-seq CUX1|TF ChIP-seq DPF2|TF ChIP-seq E2F1 stably expressing N-terminal HA-tagged E2F1|TF ChIP-seq EGR1|TF ChIP-seq ELF1|TF ChIP-seq ELK1|TF ChIP-seq EP300|TF ChIP-seq ESR1 genetically modified (insertion) using CRISPR targeting H. sapiens ESR1|TF ChIP-seq FOS|TF ChIP-seq FOSL2|TF ChIP-seq FOSL2 stably expressing C-terminal eGFP-tagged FOSL2|TF ChIP-seq FOXA1|TF ChIP-seq FOXM1|TF ChIP-seq GABPA|TF ChIP-seq GATA3|TF ChIP-seq HCFC1|TF ChIP-seq HDAC2|TF ChIP-seq JUND|TF ChIP-seq KLF4 stably expressing C-terminal eGFP-tagged KLF4|TF ChIP-seq KLF9 stably expressing C-terminal eGFP-tagged KLF9|TF ChIP-seq MAFK|TF ChIP-seq MAX|TF ChIP-seq MAZ|TF ChIP-seq MBD2|TF ChIP-seq MNT|TF ChIP-seq MSX2 genetically modified (insertion) using CRISPR targeting H. sapiens MSX2|TF ChIP-seq MYC|TF ChIP-seq NCOA3|TF ChIP-seq NFIB|TF ChIP-seq NR2F2|TF ChIP-seq NRF1|TF ChIP-seq OVOL1 genetically modified (insertion) using CRISPR targeting H. sapiens OVOL1|TF ChIP-seq PKNOX1|TF ChIP-seq PML|TF ChIP-seq POLR2A|TF ChIP-seq RAD21|TF ChIP-seq RAD21 genetically modified (insertion) using CRISPR targeting H. sapiens RAD21|TF ChIP-seq RAD51|TF ChIP-seq REST|TF ChIP-seq RFX1|TF ChIP-seq RFX5|TF ChIP-seq SIN3A|TF ChIP-seq SMARCE1|TF ChIP-seq SPDEF genetically modified (insertion) using CRISPR targeting H. sapiens SPDEF|TF ChIP-seq SRF|TF ChIP-seq SUZ12|TF ChIP-seq TAF1|TF ChIP-seq TARDBP|TF ChIP-seq TCF12|TF ChIP-seq TCF7L2|TF ChIP-seq TEAD4|TF ChIP-seq TOE1|TF ChIP-seq TRIM22|TF ChIP-seq ZBTB40|TF ChIP-seq ZFX|TF ChIP-seq ZHX2|TF ChIP-seq ZNF217|TF ChIP-seq ZNF24|TF ChIP-seq ZNF444|TF ChIP-seq ZNF574|TF ChIP-seq ZNF579|TF ChIP-seq ZNF687|polyA plus RNA-seq|total RNA-seq	92
EFO:0001221	NCI-H929	cell_line	adult		atac,chip_histone,dnase	ATAC-seq|DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac	10
EFO:0001232	RKO	cell_line	unknown		dnase	DNase-seq	1
EFO:0001247	T47D	cell_line	adult		chip_tf,dnase	DNase-seq|TF ChIP-seq JUND	2
EFO:0001253	THP-1	cell_line			cage	hCAGE EFO:0001253	2
EFO:0001260	WI38	cell_line	unknown		chip_histone,chip_tf	Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF	2
EFO:0002009	fibroblast derived cell line	tissue	adult	Cells_Cultured_fibroblasts	rna_seq,splice_junctions,splice_site_usage	gtex Cells_Cultured_fibroblasts polyA plus RNA-seq	4
EFO:0002059	HT1080	cell_line	adult		cage,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|hCAGE EFO:0002059|polyA plus RNA-seq|total RNA-seq	13
EFO:0002067	K562	cell_line	adult		atac,cage,chip_histone,chip_tf,dnase,procap,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|ENCSR740IPL|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|Histone ChIP-seq H4K20me1|TF ChIP-seq ADNP stably expressing C-terminal eGFP-tagged ADNP|TF ChIP-seq AFF1|TF ChIP-seq AFF4 genetically modified (insertion) using CRISPR targeting H. sapiens AFF4|TF ChIP-seq AGO1|TF ChIP-seq ARID1B|TF ChIP-seq ARID3A|TF ChIP-seq ARID4B genetically modified (insertion) using CRISPR targeting H. sapiens ARID4B|TF ChIP-seq ARNT|TF ChIP-seq ASH1L|TF ChIP-seq ATF1|TF ChIP-seq ATF1 genetically modified (insertion) using CRISPR targeting H. sapiens ATF1|TF ChIP-seq ATF1 stably expressing C-terminal eGFP-tagged ATF1|TF ChIP-seq ATF2|TF ChIP-seq ATF3|TF ChIP-seq ATF3 genetically modified (insertion) using CRISPR targeting H. sapiens ATF3|TF ChIP-seq ATF3 stably expressing C-terminal eGFP-tagged ATF3|TF ChIP-seq ATF4|TF ChIP-seq ATF4 genetically modified (insertion) using CRISPR targeting H. sapiens ATF4|TF ChIP-seq ATF7|TF ChIP-seq BACH1 stably expressing N-terminal eGFP-tagged BACH1|TF ChIP-seq BCLAF1|TF ChIP-seq BCOR|TF ChIP-seq BHLHE40|TF ChIP-seq BRD4|TF ChIP-seq BRD9|TF ChIP-seq BRF2|TF ChIP-seq C11orf30|TF ChIP-seq CBFA2T2|TF ChIP-seq CBFA2T3|TF ChIP-seq CBFB genetically modified (insertion) using CRISPR targeting H. sapiens CBFB|TF ChIP-seq CBX1|TF ChIP-seq CBX3|TF ChIP-seq CC2D1A|TF ChIP-seq CEBPB|TF ChIP-seq CEBPB stably expressing C-terminal eGFP-tagged CEBPB|TF ChIP-seq CEBPG genetically modified (insertion) using CRISPR targeting H. sapiens CEBPG|TF ChIP-seq CEBPG stably expressing C-terminal eGFP-tagged CEBPG|TF ChIP-seq CHAMP1|TF ChIP-seq CHD1|TF ChIP-seq CHD2|TF ChIP-seq COPS2|TF ChIP-seq CREB1|TF ChIP-seq CREB1 genetically modified (insertion) using CRISPR targeting H. sapiens CREB1|TF ChIP-seq CREB3 stably expressing C-terminal eGFP-tagged CREB3|TF ChIP-seq CREB3L1|TF ChIP-seq CREM|TF ChIP-seq CTBP1|TF ChIP-seq CTCF|TF ChIP-seq CUX1 genetically modified (insertion) using CRISPR targeting H. sapiens CUX1|TF ChIP-seq CXXC5 genetically modified (insertion) using CRISPR targeting H. sapiens CXXC5|TF ChIP-seq DACH1|TF ChIP-seq DDX20|TF ChIP-seq DEAF1|TF ChIP-seq DEAF1 genetically modified (insertion) using CRISPR targeting H. sapiens DEAF1|TF ChIP-seq DIDO1 stably expressing C-terminal eGFP-tagged DIDO1|TF ChIP-seq DMBX1 genetically modified (insertion) using CRISPR targeting H. sapiens DMBX1|TF ChIP-seq DPF2|TF ChIP-seq E2F1|TF ChIP-seq E2F1 genetically modified (insertion) using CRISPR targeting H. sapiens E2F1|TF ChIP-seq E2F5 genetically modified (insertion) using CRISPR targeting H. sapiens E2F5|TF ChIP-seq E2F8|TF ChIP-seq E4F1|TF ChIP-seq EGR1|TF ChIP-seq EHMT2|TF ChIP-seq ELF1|TF ChIP-seq ELF1 genetically modified (insertion) using CRISPR targeting H. sapiens ELF1|TF ChIP-seq ELF1 stably expressing C-terminal eGFP-tagged ELF1|TF ChIP-seq ELF4|TF ChIP-seq ELF4 genetically modified (insertion) using CRISPR targeting H. sapiens ELF4|TF ChIP-seq EP300|TF ChIP-seq EP400|TF ChIP-seq ESRRA|TF ChIP-seq ETS1|TF ChIP-seq ETV1 stably expressing C-terminal eGFP-tagged ETV1|TF ChIP-seq ETV5 genetically modified (insertion) using CRISPR targeting H. sapiens ETV5|TF ChIP-seq ETV6|TF ChIP-seq FOSL1|TF ChIP-seq FOSL1 stably expressing C-terminal eGFP-tagged FOSL1|TF ChIP-seq FOXA3 genetically modified (insertion) using CRISPR targeting H. sapiens FOXA3|TF ChIP-seq FOXJ2 stably expressing C-terminal eGFP-tagged FOXJ2|TF ChIP-seq FOXK2|TF ChIP-seq FOXM1|TF ChIP-seq FOXM1 genetically modified (insertion) using CRISPR targeting H. sapiens FOXM1|TF ChIP-seq FOXP1 genetically modified (insertion) using CRISPR targeting H. sapiens FOXP1|TF ChIP-seq GABPA stably expressing C-terminal eGFP-tagged GABPA|TF ChIP-seq GABPB1|TF ChIP-seq GABPB1 genetically modified (insertion) using CRISPR targeting H. sapiens GABPB1|TF ChIP-seq GATA1|TF ChIP-seq GATA2|TF ChIP-seq GATA2 genetically modified (insertion) using CRISPR targeting H. sapiens GATA2|TF ChIP-seq GATAD2A|TF ChIP-seq GATAD2B|TF ChIP-seq GMEB1|TF ChIP-seq GMEB1 genetically modified (insertion) using CRISPR targeting H. sapiens GMEB1|TF ChIP-seq GTF2E2 stably expressing C-terminal eGFP-tagged GTF2E2|TF ChIP-seq GTF2F1|TF ChIP-seq GTF2I genetically modified (insertion) using CRISPR targeting H. sapiens GTF2I|TF ChIP-seq HCFC1|TF ChIP-seq HDAC1|TF ChIP-seq HDAC2|TF ChIP-seq HDAC3|TF ChIP-seq HDGF|TF ChIP-seq HES1|TF ChIP-seq HINFP stably expressing C-terminal eGFP-tagged HINFP|TF ChIP-seq HLTF|TF ChIP-seq HMBOX1|TF ChIP-seq HMG20A genetically modified (insertion) using CRISPR targeting H. sapiens HMG20A|TF ChIP-seq HMGXB4 genetically modified (insertion) using CRISPR targeting H. sapiens HMGXB4|TF ChIP-seq HNRNPL|TF ChIP-seq ID3 stably expressing C-terminal eGFP-tagged ID3|TF ChIP-seq IKZF1|TF ChIP-seq IRF1 stably expressing C-terminal eGFP-tagged IRF1|TF ChIP-seq IRF2|TF ChIP-seq JUN|TF ChIP-seq JUND|TF ChIP-seq JUND stably expressing JUND|TF ChIP-seq KAT7 genetically modified (insertion) using CRISPR targeting H. sapiens KAT7|TF ChIP-seq KDM1A|TF ChIP-seq KDM4B|TF ChIP-seq KLF16|TF ChIP-seq L3MBTL2|TF ChIP-seq LCOR genetically modified (insertion) using CRISPR targeting H. sapiens LCOR|TF ChIP-seq LEF1|TF ChIP-seq MAFF|TF ChIP-seq MAFG stably expressing C-terminal eGFP-tagged MAFG|TF ChIP-seq MAFK|TF ChIP-seq MAX|TF ChIP-seq MAX genetically modified (insertion) using CRISPR targeting H. sapiens MAX|TF ChIP-seq MAZ|TF ChIP-seq MAZ genetically modified (insertion) using CRISPR targeting H. sapiens MAZ|TF ChIP-seq MBD2|TF ChIP-seq MCM5|TF ChIP-seq MEF2A|TF ChIP-seq MEF2D stably expressing C-terminal eGFP-tagged MEF2D|TF ChIP-seq MEIS2|TF ChIP-seq MGA|TF ChIP-seq MIER1|TF ChIP-seq MITF|TF ChIP-seq MLLT1|TF ChIP-seq MNT|TF ChIP-seq MTA1|TF ChIP-seq MTA2|TF ChIP-seq MTA3|TF ChIP-seq MXI1|TF ChIP-seq MYC|TF ChIP-seq MYC genetically modified (insertion) using CRISPR targeting H. sapiens MYC|TF ChIP-seq MYNN|TF ChIP-seq NBN|TF ChIP-seq NCOA1|TF ChIP-seq NCOR1|TF ChIP-seq NEUROD1|TF ChIP-seq NFATC3|TF ChIP-seq NFE2|TF ChIP-seq NFE2 stably expressing C-terminal eGFP-tagged NFE2|TF ChIP-seq NFIC|TF ChIP-seq NFRKB|TF ChIP-seq NFYA genetically modified (insertion) using CRISPR targeting H. sapiens NFYA|TF ChIP-seq NKRF|TF ChIP-seq NONO|TF ChIP-seq NR0B1|TF ChIP-seq NR2C1|TF ChIP-seq NR2C1 stably expressing C-terminal eGFP-tagged NR2C1|TF ChIP-seq NR2C2 genetically modified (insertion) using CRISPR targeting H. sapiens NR2C2|TF ChIP-seq NR2C2 stably expressing C-terminal eGFP-tagged NR2C2|TF ChIP-seq NR2F1|TF ChIP-seq NR2F2|TF ChIP-seq NR2F6|TF ChIP-seq NR4A1 stably expressing C-terminal eGFP-tagged NR4A1|TF ChIP-seq NRF1|TF ChIP-seq PBX2 stably expressing C-terminal eGFP-tagged PBX2|TF ChIP-seq PHF20|TF ChIP-seq PHF8|TF ChIP-seq PKNOX1|TF ChIP-seq PML|TF ChIP-seq POLR2A|TF ChIP-seq POLR2AphosphoS2|TF ChIP-seq POLR2AphosphoS5|TF ChIP-seq POLR2B|TF ChIP-seq POLR2G|TF ChIP-seq POLR2H stably expressing C-terminal eGFP-tagged POLR2H|TF ChIP-seq PRDM10|TF ChIP-seq RAD21|TF ChIP-seq RAD21 genetically modified (insertion) using CRISPR targeting H. sapiens RAD21|TF ChIP-seq RAD51|TF ChIP-seq RB1|TF ChIP-seq RBFOX2|TF ChIP-seq RBM17|TF ChIP-seq RCOR1|TF ChIP-seq REST|TF ChIP-seq REST genetically modified (insertion) using CRISPR targeting H. sapiens REST|TF ChIP-seq RFX1|TF ChIP-seq RNF2|TF ChIP-seq SAFB|TF ChIP-seq SAFB2|TF ChIP-seq SIN3A|TF ChIP-seq SIN3B|TF ChIP-seq SIX5|TF ChIP-seq SKIL|TF ChIP-seq SMAD1|TF ChIP-seq SMAD2|TF ChIP-seq SMAD4 genetically modified (insertion) using CRISPR targeting H. sapiens SMAD4|TF ChIP-seq SMAD5|TF ChIP-seq SMARCA4|TF ChIP-seq SMARCA5|TF ChIP-seq SMARCC2|TF ChIP-seq SMARCE1|TF ChIP-seq SMC3|TF ChIP-seq SOX6|TF ChIP-seq SP1|TF ChIP-seq SP1 genetically modified (insertion) using CRISPR targeting H. sapiens SP1|TF ChIP-seq SPI1|TF ChIP-seq SRF genetically modified (insertion) using CRISPR targeting H. sapiens SRF|TF ChIP-seq SRSF9|TF ChIP-seq STAG1 genetically modified (insertion) using CRISPR targeting H. sapiens STAG1|TF ChIP-seq STAT5A|TF ChIP-seq SUPT5H|TF ChIP-seq TAF7|TF ChIP-seq TAF7 stably expressing C-terminal eGFP-tagged TAF7|TF ChIP-seq TAF9B|TF ChIP-seq TAL1|TF ChIP-seq TARDBP|TF ChIP-seq TBL1XR1|TF ChIP-seq TCF12|TF ChIP-seq TCF3 genetically modified (insertion) using CRISPR targeting H. sapiens TCF3|TF ChIP-seq TEAD1 genetically modified (insertion) using CRISPR targeting H. sapiens TEAD1|TF ChIP-seq TEAD4|TF ChIP-seq TFAP4 genetically modified (insertion) using CRISPR targeting H. sapiens TFAP4|TF ChIP-seq TFCP2 genetically modified (insertion) using CRISPR targeting H. sapiens TFCP2|TF ChIP-seq TFDP1 genetically modified (insertion) using CRISPR targeting H. sapiens TFDP1|TF ChIP-seq TFDP1 stably expressing C-terminal eGFP-tagged TFDP1|TF ChIP-seq TFE3 genetically modified (insertion) using CRISPR targeting H. sapiens TFE3|TF ChIP-seq THAP1|TF ChIP-seq THAP12 genetically modified (insertion) using CRISPR targeting H. sapiens THAP12|TF ChIP-seq TOE1|TF ChIP-seq TRIM24|TF ChIP-seq TRIM28|TF ChIP-seq U2AF2|TF ChIP-seq UBTF|TF ChIP-seq USF1 genetically modified (insertion) using CRISPR targeting H. sapiens USF1|TF ChIP-seq USF2 genetically modified (insertion) using CRISPR targeting H. sapiens USF2|TF ChIP-seq VEZF1 genetically modified (insertion) using CRISPR targeting H. sapiens VEZF1|TF ChIP-seq XRCC4|TF ChIP-seq XRCC5|TF ChIP-seq YY1|TF ChIP-seq ZBTB1 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB1|TF ChIP-seq ZBTB11|TF ChIP-seq ZBTB11 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB11|TF ChIP-seq ZBTB12 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB12|TF ChIP-seq ZBTB17 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB17|TF ChIP-seq ZBTB2|TF ChIP-seq ZBTB33|TF ChIP-seq ZBTB33 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB33|TF ChIP-seq ZBTB40|TF ChIP-seq ZBTB40 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB40|TF ChIP-seq ZBTB7A|TF ChIP-seq ZBTB9 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB9|TF ChIP-seq ZC3H8|TF ChIP-seq ZEB2|TF ChIP-seq ZFP36|TF ChIP-seq ZFP91|TF ChIP-seq ZFX genetically modified (insertion) using CRISPR targeting H. sapiens ZFX|TF ChIP-seq ZKSCAN1|TF ChIP-seq ZKSCAN8 genetically modified (insertion) using CRISPR targeting H. sapiens ZKSCAN8|TF ChIP-seq ZMIZ1|TF ChIP-seq ZMYM3|TF ChIP-seq ZNF12 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF12|TF ChIP-seq ZNF121 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF121|TF ChIP-seq ZNF134 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF134|TF ChIP-seq ZNF143 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF143|TF ChIP-seq ZNF146 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF146|TF ChIP-seq ZNF148 stably expressing C-terminal eGFP-tagged ZNF148|TF ChIP-seq ZNF175 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF175|TF ChIP-seq ZNF184|TF ChIP-seq ZNF197 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF197|TF ChIP-seq ZNF239 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF239|TF ChIP-seq ZNF24|TF ChIP-seq ZNF24 stably expressing C-terminal eGFP-tagged ZNF24|TF ChIP-seq ZNF263 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF263|TF ChIP-seq ZNF274|TF ChIP-seq ZNF281 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF281|TF ChIP-seq ZNF282|TF ChIP-seq ZNF316|TF ChIP-seq ZNF317 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF317|TF ChIP-seq ZNF318|TF ChIP-seq ZNF319 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF319|TF ChIP-seq ZNF384|TF ChIP-seq ZNF395 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF395|TF ChIP-seq ZNF407|TF ChIP-seq ZNF431 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF431|TF ChIP-seq ZNF507 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF507|TF ChIP-seq ZNF507 stably expressing C-terminal eGFP-tagged ZNF507|TF ChIP-seq ZNF511 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF511|TF ChIP-seq ZNF512 stably expressing C-terminal eGFP-tagged ZNF512|TF ChIP-seq ZNF584 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF584|TF ChIP-seq ZNF589 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF589|TF ChIP-seq ZNF592|TF ChIP-seq ZNF639|TF ChIP-seq ZNF639 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF639|TF ChIP-seq ZNF644 stably expressing C-terminal eGFP-tagged ZNF644|TF ChIP-seq ZNF7 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF7|TF ChIP-seq ZNF740 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF740|TF ChIP-seq ZNF740 stably expressing C-terminal eGFP-tagged ZNF740|TF ChIP-seq ZNF766 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF766|TF ChIP-seq ZNF778 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF778|TF ChIP-seq ZNF83 stably expressing C-terminal eGFP-tagged ZNF83|TF ChIP-seq ZSCAN29|hCAGE EFO:0002067|polyA plus RNA-seq|total RNA-seq	333
EFO:0002071	LNCAP	cell_line	adult		chip_tf	TF ChIP-seq CTCF	1
EFO:0002074	PC-3	cell_line	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|TF ChIP-seq CTCF|hCAGE EFO:0002074|total RNA-seq	19
EFO:0002083	SW480	cell_line	adult		dnase	DNase-seq	1
EFO:0002095	22Rv1	cell_line	unknown		chip_histone,chip_tf	Histone ChIP-seq H3K27ac|TF ChIP-seq CTCF	2
EFO:0002101	A172	cell_line	adult		cage,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|hCAGE EFO:0002101|total RNA-seq	8
EFO:0002103	A375	cell_line	adult		rna_seq,splice_junctions,splice_site_usage	total RNA-seq	5
EFO:0002106	A673	cell_line	child		chip_histone,chip_tf,dnase,procap,rna_seq,splice_junctions,splice_site_usage	DNase-seq|ENCSR072YCM|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|total RNA-seq	12
EFO:0002108	ACHN	cell_line	adult		dnase	DNase-seq	1
EFO:0002140	COLO829	cell_line	adult		dnase	DNase-seq	1
EFO:0002150	Caki2	cell_line	adult		dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|total RNA-seq	6
EFO:0002167	DOHH2	cell_line	adult		chip_histone,chip_tf	Histone ChIP-seq H2AFZ|Histone ChIP-seq H3F3A|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|TF ChIP-seq CTCF	10
EFO:0002179	G401	cell_line	child		cage,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|hCAGE EFO:0002179|total RNA-seq	8
EFO:0002184	H4	cell_line	adult		dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|total RNA-seq	6
EFO:0002234	MG63	cell_line	child		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me3|total RNA-seq	8
EFO:0002246	NAMALWA	cell_line	child		dnase	DNase-seq	1
EFO:0002285	NCI-H226	cell_line	adult		cage,dnase	DNase-seq|hCAGE EFO:0002285	3
EFO:0002322	RPMI8226	cell_line	adult		dnase	DNase-seq	1
EFO:0002323	RWPE1	cell_line	adult		chip_histone,chip_tf,dnase	DNase-seq|Histone ChIP-seq H3K27ac|TF ChIP-seq CTCF	3
EFO:0002324	Raji	cell_line	child		cage,chip_tf	TF ChIP-seq POLR2A|hCAGE EFO:0002324	3
EFO:0002330	SJSA1	cell_line	adult		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|total RNA-seq	10
EFO:0002357	SU-DHL-6	cell_line	adult		chip_histone	Histone ChIP-seq H3F3A|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac	6
EFO:0002713	Panc1	cell_line	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|TF ChIP-seq POLR2AphosphoS5|TF ChIP-seq REST|TF ChIP-seq SIN3A|TF ChIP-seq TCF7L2|polyA plus RNA-seq|total RNA-seq	20
EFO:0002717	SH-SY5Y	cell_line	child		chip_tf	TF ChIP-seq GATA2|TF ChIP-seq GATA3	2
EFO:0002779	BJ	cell_line	newborn		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|polyA plus RNA-seq	10
EFO:0002782	H54	cell_line	adult		chip_tf	TF ChIP-seq CTCF|TF ChIP-seq POLR2A	2
EFO:0002783	GM06990	cell_line	unknown		chip_histone,chip_tf,dnase	DNase-seq|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF	4
