ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
CL:0000222	mesodermal cell	in_vitro_differentiated_cells	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|polyA plus RNA-seq	10
CL:0000223	endodermal cell	in_vitro_differentiated_cells	embryonic		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|TF ChIP-seq CTCF|polyA plus RNA-seq|total RNA-seq	18
CL:0000235	macrophage	primary_cell			cage	hCAGE CL:0000235	2
CL:0000236	B cell	primary_cell	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|Histone ChIP-seq H3K9me3|TF ChIP-seq CTCF|polyA plus RNA-seq|total RNA-seq	23
CL:0000307	tracheal epithelial cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0000307|total RNA-seq	7
CL:0000312	keratinocyte	primary_cell	unknown		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|TF ChIP-seq CTCF|TF ChIP-seq EZH2|hCAGE CL:0000312|polyA plus RNA-seq	19
CL:0000322	pneumocyte	primary_cell			cage	hCAGE CL:0000322	2
CL:0000346	hair follicle dermal papilla cell	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	total RNA-seq	5
CL:0000351	trophoblast cell	in_vitro_differentiated_cells	embryonic		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AK5ac|Histone ChIP-seq H2BK12ac|Histone ChIP-seq H3K14ac|Histone ChIP-seq H3K18ac|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4ac|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me1|Histone ChIP-seq H3K9me3|Histone ChIP-seq H4K8ac|Histone ChIP-seq H4K91ac|polyA plus RNA-seq	20
CL:0000388	tendon cell	primary_cell			cage	hCAGE CL:0000388	2
